player,gw,position,team,opponent_team,season,predicted_total_points,cost
Nick Pope,20,GK,Newcastle Utd,Fulham,2223,3,5.4
David Raya Martin,20,GK,Brentford,Bournemouth,2223,2,4.6
Luke Shaw,20,DEF,Manchester Utd,Manchester City,2223,9,5.1
Matt Doherty,20,DEF,Tottenham,Arsenal,2223,8,4.6
Kieran Trippier,20,DEF,Newcastle Utd,Fulham,2223,7,6.0
Ethan Pinnock,20,DEF,Brentford,Bournemouth,2223,7,4.4
Dan Burn,20,DEF,Newcastle Utd,Fulham,2223,6,4.5
Kaoru Mitoma,20,MID,Brighton,Liverpool,2223,11,4.9
Solly March,20,MID,Brighton,Liverpool,2223,9,5.0
Alex Oxlade-Chamberlain,20,MID,Liverpool,Brighton,2223,9,4.9
Lucas Tolentino Coelho de Lima,20,MID,West Ham,Wolves,2223,8,5.9
Riyad Mahrez,20,MID,Manchester City,Manchester Utd,2223,8,7.5
Harry Kane,20,FWD,Tottenham,Arsenal,2223,13,11.6
Bryan Mbeumo,20,FWD,Brentford,Bournemouth,2223,9,5.9
Taiwo Awoniyi,20,FWD,Nottingham Forest,Leicester City,2223,9,5.7
