player,gw,position,team,opponent_team,season,predicted_total_points,cost
Gavin Bazunu,17,GK,Southampton,Brighton,2223,9,4.5
Danny Ward,17,GK,Leicester City,Newcastle Utd,2223,3,4.1
Andrew Robertson,17,DEF,Liverpool,Aston Villa,2223,9,6.8
Daniel Amartey,17,DEF,Leicester City,Newcastle Utd,2223,7,4.3
Mohammed Salisu,17,DEF,Southampton,Brighton,2223,6,4.4
William Saliba,17,DEF,Arsenal,West Ham,2223,6,5.3
Luke Thomas,17,DEF,Leicester City,Newcastle Utd,2223,6,4.2
Rodrigo Bentancur,17,MID,Tottenham,Brentford,2223,14,5.4
Rodrigo Moreno,17,MID,Leeds,Manchester City,2223,13,6.3
Martin Ødegaard,17,MID,Arsenal,West Ham,2223,12,6.4
Joe Willock,17,MID,Newcastle Utd,Leicester City,2223,11,4.9
Harvey Barnes,17,MID,Leicester City,Newcastle Utd,2223,8,6.9
Ivan Toney,17,FWD,Brentford,Tottenham,2223,15,7.4
Darwin Núñez Ribeiro,17,FWD,Liverpool,Aston Villa,2223,13,9.0
Che Adams,17,FWD,Southampton,Brighton,2223,9,6.4
