player,gw,position,team,opponent_team,season,predicted_total_points,cost
David De Gea Quintana,19,GK,Manchester Utd,Bournemouth,2223,6,4.9
Nick Pope,19,GK,Newcastle Utd,Arsenal,2223,6,5.3
Ethan Pinnock,19,DEF,Brentford,Liverpool,2223,7,4.4
Serge Aurier,19,DEF,Nottingham Forest,Southampton,2223,7,4.5
Sven Botman,19,DEF,Newcastle Utd,Arsenal,2223,6,4.4
Raphaël Varane,19,DEF,Manchester Utd,Bournemouth,2223,6,4.8
Dan Burn,19,DEF,Newcastle Utd,Arsenal,2223,6,4.5
Martin Ødegaard,19,MID,Arsenal,Newcastle Utd,2223,12,6.6
Gabriel Martinelli Silva,19,MID,Arsenal,Newcastle Utd,2223,10,6.8
Kiernan Dewsbury-Hall,19,MID,Leicester City,Fulham,2223,9,4.9
Demarai Gray,19,MID,Everton,Brighton,2223,9,5.3
João Palhinha Gonçalves,19,MID,Fulham,Leicester City,2223,9,5.0
Ivan Toney,19,FWD,Brentford,Liverpool,2223,12,7.5
Eddie Nketiah,19,FWD,Arsenal,Newcastle Utd,2223,8,6.5
Erling Haaland,19,FWD,Manchester City,Chelsea,2223,6,12.2
