player,gw,position,team,opponent_team,season,predicted_total_points,cost
Nick Pope,7,GK,Newcastle Utd,West Ham,2223,4,5.1
David Raya Martin,7,GK,Brentford,Southampton,2223,3,4.5
Ryan Sessegnon,7,DEF,Tottenham,Manchester City,2223,5,4.5
Virgil van Dijk,7,DEF,Liverpool,Wolves,2223,4,6.5
Sven Botman,7,DEF,Newcastle Utd,West Ham,2223,4,4.4
Reece James,7,DEF,Chelsea,Fulham,2223,3,6.0
Luke Ayling,7,DEF,Leeds,Nottingham Forest,2223,3,4.5
Mohamed Salah,7,MID,Liverpool,Wolves,2223,5,13.0
Alexis Mac Allister,7,MID,Brighton,Bournemouth,2223,5,5.6
Keane Lewis-Potter,7,MID,Brentford,Southampton,2223,5,5.3
Son Heung-min,7,MID,Tottenham,Manchester City,2223,5,11.7
Solly March,7,MID,Brighton,Bournemouth,2223,5,5.0
Erling Haaland,7,FWD,Manchester City,Tottenham,2223,7,12.0
Deniz Undav,7,FWD,Brighton,Bournemouth,2223,6,5.2
Danny Welbeck,7,FWD,Brighton,Bournemouth,2223,6,6.5
