player,gw,position,team,opponent_team,season,predicted_total_points,cost
Lukasz Fabianski,3,GK,West Ham United,Brighton and Hove Albion,2223,6,5.0
Nick Pope,3,GK,Newcastle United,Manchester City,2223,5,5.0
Trent Alexander-Arnold,3,DEF,Liverpool,Manchester United,2223,9,7.5
Aaron Cresswell,3,DEF,West Ham United,Brighton and Hove Albion,2223,7,5.0
Reece James,3,DEF,Chelsea,Leeds,2223,6,6.0
Kyle Walker-Peters,3,DEF,Southampton,Leicester City,2223,6,4.5
Pascal Struijk,3,DEF,Leeds,Chelsea,2223,5,4.5
Kevin De Bruyne,3,MID,Manchester City,Newcastle United,2223,11,12.1
Mohamed Salah,3,MID,Liverpool,Manchester United,2223,10,13.0
Rodrigo Moreno,3,MID,Leeds,Chelsea,2223,10,6.1
Phil Foden,3,MID,Manchester City,Newcastle United,2223,9,8.0
Gabriel Martinelli Silva,3,MID,Arsenal,Bournemouth,2223,8,6.2
Gabriel Fernando de Jesus,3,FWD,Arsenal,Bournemouth,2223,11,8.0
Harry Kane,3,FWD,Tottenham Hotspur,Wolverhampton Wanderers,2223,7,11.4
Ollie Watkins,3,FWD,Aston Villa,Crystal Palace,2223,5,7.4
