player,gw,position,team,opponent_team,season,predicted_total_points,cost
David Raya Martin,3,GK,Brentford,Fulham,2223,7,4.5
Jordan Pickford,3,GK,Everton,Nottingham Forest,2223,7,4.5
William Saliba,3,DEF,Arsenal,Bournemouth,2223,8,4.6
Ivan Perišić,3,DEF,Tottenham,Wolves,2223,7,5.5
Kieran Trippier,3,DEF,Newcastle Utd,Manchester City,2223,7,5.1
Joël Veltman,3,DEF,Brighton,West Ham,2223,6,4.5
Lewis Dunk,3,DEF,Brighton,West Ham,2223,5,4.5
Wilfried Zaha,3,MID,Crystal Palace,Aston Villa,2223,13,7.1
Jack Harrison,3,MID,Leeds,Chelsea,2223,12,6.0
Martin Ødegaard,3,MID,Arsenal,Bournemouth,2223,12,6.4
Mohamed Salah,3,MID,Liverpool,Manchester Utd,2223,9,13.0
Rodrigo Moreno,3,MID,Leeds,Chelsea,2223,9,6.3
Che Adams,3,FWD,Southampton,Leicester City,2223,10,6.4
Harry Kane,3,FWD,Tottenham,Wolves,2223,9,11.4
Aleksandar Mitrović,3,FWD,Fulham,Brentford,2223,9,6.6
