team,team_xg,team_xa,team_npxg
Arsenal,1.58,0.97,1.42
Aston Villa,1.16,0.88,1.1
Brentford,1.26,0.87,1.14
Brighton,1.21,0.77,1.07
Burnley,1.03,0.73,0.99
Chelsea,1.77,1.23,1.6
Crystal Palace,1.22,0.78,1.06
Everton,1.13,0.72,0.99
Leeds,1.24,0.82,1.14
Leicester City,1.34,0.89,1.3
Liverpool,2.35,1.58,2.2
Manchester City,2.34,1.58,2.16
Manchester Utd,1.44,1.07,1.34
Newcastle Utd,1.06,0.68,1
Norwich,0.88,0.6,0.82
Southampton,1.23,0.85,1.15
Tottenham,1.71,1.3,1.62
Watford,1.02,0.75,0.98
West Ham,1.31,0.94,1.21
Wolves,0.95,0.65,0.93
