team,team_xg,team_xa,team_npxg
Arsenal,1.41,0.96,1.29
Aston Villa,1.39,0.98,1.28
Brighton,1.36,0.87,1.18
Burnley,1.05,0.71,0.99
Chelsea,1.68,1.12,1.48
Crystal Palace,0.85,0.55,0.78
Everton,1.24,0.87,1.14
Fulham,1.09,0.73,0.97
Leeds,1.51,1.12,1.43
Leicester City,1.47,0.87,1.23
Liverpool,1.91,1.32,1.79
Manchester City,1.93,1.34,1.75
Manchester Utd,1.58,1.07,1.37
Newcastle Utd,1.08,0.69,0.93
Sheffield Utd,0.83,0.6,0.75
Southampton,1.11,0.72,1
Tottenham,1.43,0.93,1.33
West Brom,0.89,0.56,0.81
West Ham,1.42,0.97,1.33
Wolves,1.05,0.7,0.97
